id,name,type,start_date,end_date,significance,dynasty_id,image,color,description
1,Elamite Kingdom,dynasty,2700 BC,539 BC,4,,,#FF6F61,An ancient civilization in southwestern Iran.
2,Median Empire,dynasty,678 BC,549 BC,4,,,#6B5B95,Unified Iran before the Achaemenid rise.
3,Achaemenid Empire,dynasty,550 BC,330 BC,5,,,#88B04B,Founded by Cyrus it became a vast empire.
4,Seleucid Empire,dynasty,312 BC,63 BC,4,,,#F7CAC9,Hellenistic rule followed Alexander’s conquests.
5,Parthian Empire,dynasty,247 BC,224 AD,5,,,#92A8D1,Famed for archery and Roman resistance.
6,Greco-Bactrian Kingdom,dynasty,256 BC,125 BC,3,,,#955251,A Hellenistic state in Central Asia.
7,Sasanian Empire,dynasty,224 AD,651 AD,5,,,#B565A7,The last pre-Islamic Persian empire.
8,Umayyad Caliphate,dynasty,661 AD,750 AD,4,,,#009B77,Introduced Islam to Persian lands.
9,Abbasid Caliphate,dynasty,750 AD,1258 AD,5,,,#DD4124,Cultural golden age under Baghdad’s rule.
10,Tahirid Dynasty,dynasty,821 AD,873 AD,3,,,#45B7D1,First semi-independent Persian rule.
11,Saffarid Dynasty,dynasty,861 AD,1003 AD,3,,,#FFD700,Ya'qub Saffari defied Abbasid control.
12,Samanid Empire,dynasty,819 AD,999 AD,4,,,#4682B4,Revived Persian language and culture.
13,Buyid Dynasty,dynasty,934 AD,1062 AD,4,,,#DAA520,Shia rulers dominated western Iran.
14,Ghaznavid Dynasty,dynasty,977 AD,1186 AD,4,,,#9ACD32,Mahmud expanded into India.
15,Seljuk Empire,dynasty,1037 AD,1194 AD,5,,,#CD5C5C,Turkish dynasty reshaped Persia.
16,Khwarazmian Dynasty,dynasty,1077 AD,1231 AD,4,,,#FF4500,Fell to Mongol invasions.
17,Ilkhanate,dynasty,1256 AD,1335 AD,4,,,#20B2AA,Mongol rulers adopted Persian ways.
18,Muizzuddin Dynasty,dynasty,1206 AD,1290 AD,3,,,#8A2BE2,Ghorid successors ruled briefly.
19,Timurid Empire,dynasty,1370 AD,1507 AD,5,,,#FF1493,Timur’s empire mixed war and art.
20,Chagatai Khanate,dynasty,1225 AD,1687 AD,3,,,#00CED1,Mongol rule lingered in the east.
21,Safavid Empire,dynasty,1501 AD,1736 AD,5,,,#FFA500,Established Shia Islam in Persia.
22,Afsharid Dynasty,dynasty,1736 AD,1796 AD,4,,,#32CD32,Nader Shah’s brief but powerful reign.
23,Zand Dynasty,dynasty,1751 AD,1794 AD,4,,,#9932CC,Karim Khan brought stability.
24,Qajar Dynasty,dynasty,1789 AD,1925 AD,4,,,#00FF7F,Modernized Persia under pressure.
25,Pahlavi Dynasty,dynasty,1925 AD,1979 AD,4,,,#FF69B4,Reza Shah reformed Iran.
26,Deylaman Dynasty,dynasty,928 AD,1090 AD,3,,,#ADFF2F,Minor Shia rule in the north.
27,Ziyarid Dynasty,dynasty,931 AD,1090 AD,3,,,#FF6347,Controlled Caspian regions.
